quality,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
5,0.14246230020599618,2.1886644640026995,-2.192663755104708,-0.7447207851922538,0.5699139521903356,-1.1000551922309667,-1.4462472102049242,1.034913164974041,1.8129499713970743,0.19308191024649807,-0.9153937086515458
5,0.4510010107983899,3.2819823390406513,-2.192663755104708,-0.5975940776208888,1.197882506325191,-0.3112961254549036,-0.8624022483099207,0.7014323223614014,-0.11506417365601701,0.9995016911678025,-0.5800234900054155
5,0.4510010107983899,2.553103755682017,-1.9174051003743435,-0.6606483808657595,1.026618355197503,-0.8746954588663772,-1.092401778753407,0.768128490883922,0.25809985441877287,0.7978967459374762,-0.5800234900054155
6,3.0735800508337396,-0.36241057775251956,1.6609574111203964,-0.7447207851922538,0.5413699270023876,-0.7620155921840825,-0.9862481493179518,1.1016093334965615,-0.36384019237254545,0.32748520706671486,-0.5800234900054155
5,0.14246230020599618,2.1886644640026995,-2.192663755104708,-0.7447207851922538,0.5699139521903356,-1.1000551922309667,-1.4462472102049242,1.034913164974041,1.8129499713970743,0.19308191024649807,-0.9153937086515458
5,0.14246230020599618,1.9457049362164889,-2.192663755104708,-0.7657388862738774,0.5413699270023876,-0.987375325548672,-1.3400935807694692,1.034913164974041,1.8129499713970743,0.19308191024649807,-0.9153937086515458
5,0.5281356884464888,1.5812656445371713,-1.779775773009161,-0.8077750884371245,0.3701057758747,-0.8746954588663772,-1.0039404208905276,0.5680399853163234,0.5068758731353014,-0.47893457385458915,-0.9153937086515458
7,0.06532762255789724,1.8849650542699359,-2.192663755104708,-0.8918474927636187,0.25592967512290804,-0.8746954588663772,-1.6762467406484105,-0.03222553138639837,1.0666219152474916,-0.4117329254444808,-0.4123383806823511
7,0.4510010107983899,1.4597858806440656,-2.0550344277395256,-0.7237026841106302,0.4842818766264916,-1.2127350589132615,-1.7293235553661381,0.7014323223614014,0.880039901210094,0.2602835586566061,-0.8315511539900137
5,0.21959697785409446,0.973866825071643,0.28466413746857305,0.13803946023593625,0.4271938262505956,-0.7620155921840825,-0.24317274326976543,1.034913164974041,0.8178458965309633,1.8059214720891068,0.006874392625311355
5,-0.39748044333069366,1.4597858806440656,-1.6421464456439787,-0.7657388862738774,1.1693384811372431,-0.8746954588663772,-0.8977867914550725,0.40129956401002204,0.3824878637770371,0.05867861342628055,-1.0830788179746118
