TEY,AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP,CO,NOX
134.67,-1.7623379919169897,0.8710403350320107,0.40162104666274295,-0.45186927377708064,-0.37769719823729103,0.2721153500933708,0.5365813301622951,-0.14927061701057523,-0.9041693076343601,1.4264791140905082
134.67,-1.8018951492209128,0.8091528849698406,0.4403449423188082,-0.4582005499774673,-0.38437028781225924,0.2664129166214876,0.5687339772115475,-0.15478129472604668,-0.8505998908749427,1.4628712187520547
135.1,-1.8540875017125444,0.8246247474853831,0.483425276236181,-0.44282459349081404,-0.3750756273328393,0.2892226505089945,0.589194752606549,-0.01701435183926539,-0.8490088513539963,1.5826654644497105
135.03,-1.875692208468149,0.8091528849698406,0.5232555689109903,-0.44540878785831906,-0.39390327291935695,0.2892226505089945,0.5862717846929655,-0.06477355870668243,-0.946402567807035,1.473831664391297
134.67,-1.8746180154660061,0.7317935723921455,0.5058298158657614,-0.44889745025445027,-0.3924733251532922,0.2550080496777471,0.5614265574276303,-0.13824926157963233,-0.9303153904285778,1.4329868786888091
134.67,-1.8565984278550542,0.7163217098766206,0.42036064616773167,-0.4433414323643155,-0.39580986994077716,0.2607104831496173,0.5585035895140634,-0.17682400558793082,-0.9447850109607395,1.4090109038529666
134.68,-1.885615066325447,0.7627372974232306,0.4319778148645516,-0.4459256267318199,-0.39914641472826123,0.2550080496777471,0.567272493254764,-0.16855798901472366,-0.8522439650465872,1.6525383053998801
134.66,-1.8964241334095127,0.7936810224543156,0.4148978108876801,-0.44941428912795117,-0.4022446348880676,0.2607104831496173,0.5438887499462124,-0.15386284844013368,-0.694978547509494,1.6183725412588046
134.65,-1.8800963997769364,0.8400966100009256,0.4896487594666193,-0.4171118595341426,-0.3829403400461945,0.277817783565241,0.5585035895140634,-0.17498711301610811,-0.7435936439828534,1.5999624177241396
132.67,-1.730071919615114,0.8400966100009256,0.5171703853078948,-0.5293951048022215,-0.510444015853629,0.09533991246522461,0.5321968782919282,-0.3366336593365963,-0.5941508374237462,1.4865903081432275
135.24,-1.5682313164297164,0.8246247474853831,0.5661284533873485,-0.45316137096083287,-0.37531395196051615,0.24930561620586386,0.567272493254764,-0.23560456788629075,-0.5971119387543963,1.4264791140905082
152.6,-1.3055642725806542,0.747265434907688,0.6689542263169352,0.6008023018259566,1.0877609373513346,0.7454173282590291,-1.6585675729284497,1.1686998032729632,-0.6317966003110259,0.6844226929211841
159.99,-1.0529140784765771,0.6389623972989255,0.4413130397102096,0.9985098149849282,1.6151733384015263,1.0704560361559312,-2.2767752866483955,1.7160937896764394,-0.5876540927132154,0.4508281952348336
160.6,-0.9386736526986497,0.5306593596901453,0.1656818824154325,1.0686706920626812,1.7100265402171495,1.0704560361559312,-2.5179201395178965,1.8263073439858635,-0.4525925156017729,0.4985232594618478
160.4,-0.8990627857446197,0.49971563465906027,0.01804703022668391,1.0575586562824106,1.6940587901627606,1.064753602684048,-2.498920848079695,1.7978355091225966,-0.5762516428131002,0.41220975005281524
160.09,-0.9085962486386404,0.48424377214353537,0.006429861529863936,0.9902403930089141,1.6349542824987542,1.0761584696278015,-2.263621931037344,1.7307889302510295,-0.9533368483858259,0.1816978777025018
160.66,-0.9342426065648088,0.43782818459690775,0.0968086679985732,1.0158239172472106,1.6845258050556629,1.0704560361559312,-2.456537813332925,1.8042646331239793,-0.9443386359840297,0.18812001381924434
160.64,-1.0121215992201897,0.4223563220813652,0.24589566627442427,0.9240850172007932,1.6020654838792667,1.0476463022684244,-2.263621931037344,1.6214938222275168,-0.7702170386333551,0.13443095588326892
160.84,-1.1018301423116725,0.4068844595658403,0.3216147122447658,0.8956588791582413,1.585859409197201,1.0476463022684244,-2.25193005938306,1.7013986491018496,-0.794670432159455,0.1770739396984463
134.26,-1.6548918368776178,0.19027838434828,0.8707333826105036,-0.3818376064177037,-0.3574396048847078,0.19228128148710955,0.4313544852737874,-0.22642010502717222,-0.8177670225385256,1.4423203831784759
121.95,-1.6411153116251314,0.12839093428612747,0.743981774150562,-0.830324538898143,-1.0271318086583352,-0.6915959066535824,0.5102746189401599,-0.85280047201907,-0.5331167935785558,1.6795969055717597
133.51,-1.6462714380354184,0.08197534673951745,0.6849278332750628,-0.37757368571132055,-0.37412232882212915,0.20938858190273324,0.5190435226808772,-0.24662592331723365,-0.8421010881005544,1.5120219671655315
129.19,-1.6428877300786677,0.05103162170843239,0.6846512340203762,-0.531850089451351,-0.6079187885737048,-0.09854282557853229,0.5804258488658317,-0.4183753787827534,-0.7484816709555385,1.48402145369653
131.08,-1.6561808684801897,0.004616034161822383,0.601256558732493,-0.4725428287171182,-0.5111589897366614,0.0440180112183535,0.5760413969954814,-0.3614317090562178,-0.7493744209089583,1.6061276683962136
129.06,-1.67696650307166,-0.04179955338480521,0.6379751097920837,-0.5423160766397452,-0.6253164863941586,-0.115650125994156,0.5745799130386979,-0.3439812296238921,-0.6496604384878731,1.692783691731473
132.86,-1.6732471098017394,-0.05727141590033016,0.6574062074337872,-0.3894609798018426,-0.42131060510226387,0.1694715475996156,0.5511961697301295,-0.3384705519084206,-0.7586908412149439,1.511679453239306
125.76,-1.670279651633319,-0.08821514093141522,0.73761999129278,-0.6500769817646906,-0.799770113854051,-0.3722596322285504,0.570195461168331,-0.5598161068131817,-0.5838974716220923,1.5544936940175962
130.63,-1.575723812619665,-0.08821514093141522,0.8859463416182434,-0.42279708714265285,-0.5044859001616931,0.04972044469022375,0.5643495253411972,-0.40276179192225203,-0.7101066816211584,1.4562778256721982
133.52,-1.4696472536580256,-0.04179955338480521,0.8997763043525525,-0.2904863355264128,-0.32383583238218805,0.277817783565241,0.567272493254764,-0.2558103861763522,-0.7487203268836804,1.4609873921578107
132.98,-1.3617714214177963,-0.010855828353720148,0.8597385622367275,-0.2721385555171292,-0.32550410477592967,0.24930561620586386,0.5424272659894289,-0.23927835302993786,-0.734210930363495,1.3119082057678044
133.67,-1.1333845617496285,0.020087896677364915,0.9409895933007926,-0.1581755839101721,-0.22373948875765967,0.4032713199465031,0.5424272659894289,-0.1290647987205138,-0.6786659728655694,1.1952822138877413
133.68,-0.8542152279051416,0.004616034161822383,0.7226144817260538,-0.2851887370730279,-0.28308232104934383,0.2949250839808647,0.539504298075862,-0.16580265015698795,-0.6306563553210144,0.8072139354733199
133.67,-0.6975173237175046,-0.07274327841587269,0.10420769806142845,-0.32097982906296824,-0.2880871382305704,0.2550080496777471,0.5190435226808772,-0.1501890632964866,-0.4586031093475701,1.1194153792286117
133.67,-0.619369782811588,-0.18104631602465282,-0.22038152731280225,-0.27834062199914034,-0.27950745163418284,0.2721153500933708,0.507351651026593,-0.13824926157963233,-0.27757816829767856,1.1170177817450269
133.64,-0.5712996459656805,-0.2119900410557203,-0.38848472434832854,-0.2563749698753506,-0.2828439964216669,0.2949250839808647,0.5365813301622951,-0.18784536101887372,-0.2328522795421878,1.0325024704486827
123.68,-0.5751935955984495,-0.24293376608680536,-0.4406928336703446,-0.6808288947379966,-0.8448134684850885,-0.5091180355535659,0.5789643649090482,-0.7683034137151772,-0.539304169493347,1.0746316833745204
125.72,-0.6514612987506155,-0.2119900410557203,-0.115481259973069,-0.6632563730389648,-0.7466237218819795,-0.39506936611605736,0.5175820387240937,-0.6764587851239903,-0.45581879018591404,1.082166989751499
